R,G,I,F
1,6,36,9433550.447077723
1,6,37,9462023.969049577
1,6,38,9358830.671880765
1,6,39,9479395.968037702
1,6,40,9531636.792211413
1,6,41,9458551.799574004
1,6,42,9368743.35329678
1,6,43,9319581.51264358
1,6,44,9480451.449451089
1,6,45,9450979.594103204
1,6,46,9331554.850552473
1,6,47,9379996.343712611
1,6,48,9308185.93401912
1,6,49,9356959.301373424
1,6,50,9301412.74825135
1,6,51,9411958.341181666
1,6,52,9709111.201639986
1,6,53,9438077.000410235
1,6,54,9452064.466513148
1,6,55,9365917.763199968
1,6,56,9543941.890472464
1,6,57,9354567.703020785
1,6,58,9435836.235153776
1,6,59,9324702.491455141
1,6,60,9448471.715815483
1,6,61,9331554.850552473
1,6,62,9440750.147521388
1,6,63,9530401.354866162
1,6,64,9431407.326720687
1,6,65,9363968.903604783
1,6,66,9518510.417723259
1,6,67,9376814.72992735
1,6,68,9578230.714467082
1,6,69,9637167.432694118
1,6,70,9473854.252848104
1,6,71,9367804.07778098
1,6,72,9429891.876955593
1,6,73,9357247.272771042
1,6,74,9409930.509205086
1,6,75,9559292.409724783
1,6,76,9497977.391575411
1,6,77,9502522.394942267
1,6,78,9396218.822384361
1,6,79,9399454.487653533
1,6,80,9336115.99869124
1,6,81,9422682.084062643
1,6,82,9593156.188050566
1,6,83,9561968.272027664
1,6,84,9267619.810387826
1,6,85,9420985.776876425
1,6,86,9353756.826428447
1,6,87,9448471.715815483
1,6,88,9371554.272263039
1,6,89,9611033.714068577
1,6,90,9365894.562096296
1,6,91,9318515.764804807
1,6,92,9584794.295942696
1,6,93,9702471.89244563
1,6,94,9435886.051162992
1,6,95,9404797.38473121
1,6,96,9369633.808128478
1,6,97,9488638.109158827
1,6,98,9335827.951621838
1,6,99,9499325.49676172
1,7,0,9358774.488163346
1,7,1,9251237.813977199
1,7,2,9424232.961429479
1,7,3,9464803.847087426
1,7,4,9376311.718620563
1,7,5,9338234.02855084
1,7,6,9556250.993992977
1,7,7,9456795.261727946
1,7,8,9356959.301373424
1,7,9,9363968.903604783
1,7,10,9337586.370685793
1,7,11,9448622.550946247
1,7,12,9427365.116744913
1,7,13,9302616.658847295
1,7,14,9356959.301373424
1,7,15,9365894.562096296
1,7,16,9379693.782825883
1,7,17,9236858.495234208
1,7,18,9222398.916296763
1,7,19,9482267.057018029
1,7,20,9637393.004612623
1,7,21,9348939.071517807
1,7,22,9260769.900298977
1,7,23,9460516.970086984
1,7,24,9460516.970086984
1,7,25,9363968.903604783
1,7,26,9518581.203626284
1,7,27,9419383.150254594
1,7,28,9308243.0731335
1,7,29,9371867.245737154
1,7,30,9430137.08358684
1,7,31,9333629.467287255
1,7,32,9363180.768997299
1,7,33,9332506.918611282
1,7,34,9414704.055654947
1,7,35,9470175.772434693
1,7,36,9365894.562096296
1,7,37,9267619.810387826
1,7,38,9404863.616054835
1,7,39,9503276.95166201
1,7,40,9331554.850552473
1,7,41,9411958.341181666
1,7,42,9357247.272771042
1,7,43,9480451.449451089
1,7,44,9373880.511562565
1,7,45,9435836.235153776
1,7,46,9358830.671880765
1,7,47,9368906.32780247
1,7,48,9485684.771515518
1,7,49,9425490.670773355
1,7,50,9267619.810387826
1,7,51,9601834.334864322
1,7,52,9320989.073591031
1,7,53,9380795.425964547
1,7,54,9354567.703020785
1,7,55,9368743.35329678
1,7,56,9395641.699783677
1,7,57,9456795.261727946
1,7,58,9651963.248812897
1,7,59,9393823.971159311
1,7,60,9371393.272083987
1,7,61,9460714.93133107
1,7,62,9433550.447077723
1,7,63,9336452.053323079
1,7,64,9371554.272263039
1,7,65,9448471.715815483
1,7,66,9308521.377311083
1,7,67,9298326.829661902
1,7,68,9498137.954089925
1,7,69,9350035.51763006
1,7,70,9404414.762170779
1,7,71,9424563.03467115
1,7,72,9456182.077711498
1,7,73,9418195.283940395
1,7,74,9316858.622494394
1,7,75,9399085.262973437
1,7,76,9371554.272263039
1,7,77,9368906.32780247
1,7,78,9411958.341181666
1,7,79,9368743.35329678
1,7,80,9356473.473241169
1,7,81,9273885.511819936
1,7,82,9331554.850552473
1,7,83,9348939.071517807
1,7,84,9392573.748171518
1,7,85,9525758.026748734
1,7,86,9374876.220328381
1,7,87,9545373.25539862
1,7,88,9379068.343129043
1,7,89,9596974.545434097
1,7,90,9429891.876955593
1,7,91,9319581.51264358
1,7,92,9470297.116316978
1,7,93,9425371.336207356
1,7,94,9485763.566123815
1,7,95,9193764.145176705
1,7,96,9353756.826428447
1,7,97,9335827.951621838
1,7,98,9379788.692368282
1,7,99,9321991.097325722
1,8,0,9370191.89720131
1,8,1,9369690.328178728
1,8,2,9393823.971159311
1,8,3,9373880.511562565
1,8,4,9222398.916296763
1,8,5,9460714.93133107
1,8,6,9317357.738705227
1,8,7,9487424.926273251
1,8,8,9380264.97499967
1,8,9,9478038.56119708
1,8,10,9404863.616054835
1,8,11,9222398.916296763
1,8,12,9539096.632947324
1,8,13,9345396.14211829
1,8,14,9411958.341181666
1,8,15,9236858.495234208
1,8,16,9374041.319110995
1,8,17,9302748.203051051
1,8,18,9306234.9431255
1,8,19,9543040.526930375
1,8,20,9222398.916296763
1,8,21,9358830.671880765
1,8,22,9396860.853754932
1,8,23,9376748.74501208
1,8,24,9298326.829661902
1,8,25,9404414.762170779
1,8,26,9251237.813977199
1,8,27,9363968.903604783
1,8,28,9314214.13488551
1,8,29,9344650.890281888
1,8,30,9556250.993992977
1,8,31,9356959.301373424
1,8,32,9434623.426407997
1,8,33,9374599.203551518
1,8,34,9380795.425964547
1,8,35,9371393.272083987
1,8,36,9289149.133261781
1,8,37,9306482.318440557
1,8,38,9448622.550946247
1,8,39,9267619.810387826
1,8,40,9269117.125811769
1,8,41,9268150.404997934
1,8,42,9347641.874640658
1,8,43,9346131.002355898
1,8,44,9429186.070543816
1,8,45,9351739.626323855
1,8,46,9305725.317512745
1,8,47,9308243.0731335
1,8,48,9252049.870352097
1,8,49,9368415.568834541
1,8,50,9527284.824964704
1,8,51,9594721.538374763
1,8,52,9251237.813977199
1,8,53,9374876.220328381
1,8,54,9276609.432474736
1,8,55,9406759.02379549
1,8,56,9323868.859757956
1,8,57,9273789.015182199
1,8,58,9363968.903604783
1,8,59,9331554.850552473
1,8,60,9415460.530418772
1,8,61,9422210.823840052
1,8,62,9567955.73967842
1,8,63,9434369.943014937
1,8,64,9363135.871863235
1,8,65,9409932.359159328
1,8,66,9293327.416741112
1,8,67,9374603.58684958
1,8,68,9380761.581199342
1,8,69,9452647.968577817
1,8,70,9312544.19672694
1,8,71,9386508.188043285
1,8,72,9424563.03467115
1,8,73,9321991.097325722
1,8,74,9490283.017780205
1,8,75,9396209.762586702
1,8,76,9387364.373715378
1,8,77,9367144.104699913
1,8,78,9357550.82246813
1,8,79,9214482.974217258
1,8,80,9411958.341181666
1,8,81,9267619.810387826
1,8,82,9362066.323736664
1,8,83,9189661.453005878
1,8,84,9326362.454443859
1,8,85,9425413.038513161
1,8,86,9434735.875521861
1,8,87,9308198.342986742
1,8,88,9403550.11120188
1,8,89,9571618.18917658
1,8,90,9573865.737904558
1,8,91,9510957.802619707
1,8,92,9445038.150289917
1,8,93,9508751.65722816
1,8,94,9319581.51264358
1,8,95,9336452.053323079
1,8,96,9534218.385773618
1,8,97,9204966.320901409
1,8,98,9477224.131264284
1,8,99,9477446.377633044
1,9,0,9345396.14211829
1,9,1,9323868.859757956
1,9,2,9353535.332216641
1,9,3,9350822.967461027
1,9,4,9374348.679938752
1,9,5,9281464.254696606
1,9,6,9306482.318440557
1,9,7,9556250.993992977
1,9,8,9331554.850552473
1,9,9,9369690.328178728
1,9,10,9277050.615594974
1,9,11,9469971.854825089
1,9,12,9295828.885243233
1,9,13,9317001.303052884
1,9,14,9305725.317512745
1,9,15,9306482.318440557
1,9,16,9317357.738705227
1,9,17,9387364.373715378
1,9,18,9442189.482052041
1,9,19,9316392.439182844
1,9,20,9386495.684702411
1,9,21,9098603.684095364
1,9,22,9351050.61625498
1,9,23,9417113.188117899
1,9,24,9267619.810387826
1,9,25,9326362.454443859
1,9,26,9331554.850552473
1,9,27,9269117.125811769
1,9,28,9308198.342986742
1,9,29,9326362.454443859
1,9,30,9339277.600957548
1,9,31,9348430.165378537
1,9,32,9653049.962829003
1,9,33,9500122.783117766
1,9,34,9341387.665752739
1,9,35,9405599.043299658
1,9,36,9305725.317512745
1,9,37,9289149.133261781
1,9,38,9330180.374973582
1,9,39,9328738.685752472
1,9,40,9315161.168158026
1,9,41,9359397.07433255
